SET_ISBN_THIRTEEN_NO,SGVL_ISBN_NO,VLM_NM,TITLE_NM,ISBN_ORGT_NO
"9788925805023","9791134872779","17","소녀파이트","9791134872779 (17)"
"9788952950826","9791134888435","28","엄마는단짝친구","9791134888435 (28)"
"9788952874627","9791136279248","15","요츠바랑","9791136279248 (15)"
"9791133499656","9791136278333","8","하나노이군과상사병","9791136278333 (8)"
"9788992505802","9791190747660","7","상상수집가조르주","9791190747660 (7)"
"9791196392604","9791197239007","8","유네스코세계기록유산에등재된국채보상운동기록물","9791197239007 (8)"
"9788928502929","9788928516254","16","한국의무가","9788928516254 (16)"
"9788928502929","9788928516438","19","한국의무가","9788928516438 (19)"
"9788958382669","9788958383451","5","천애홍엽","8958383453(5)"
"9791127848248","9791127861896","7","현실의여친은필요없어","9791127861896 (7)"
"9788925852232","9791134870744","38","경계의린네","9791134870744 (38)"
"9791129491152","9791135467660","36","갑질하는영주님","9791135467660 (36)"
"9788972597728","9791165795757","18","세상이가르쳐준비밀","9791165795757 (18)"
"9788940403945","9788940403952","1","이것이새천년미국영어다","8940403959 (1)"
"9788940403945","9788940403969","2","이것이새천년미국영어다","8940403967 (2)"
"9788940403945","9788940403976","3","이것이새천년미국영어다","8940403975 (3)"
"9788940403945","9788940403983","4","이것이새천년미국영어다","8940403983 (4)"
"9788940403945","9788940403990","5","이것이새천년미국영어다","8940403991 (5)"
"9788940403945","9788940404010","7","이것이새천년미국영어다","8940404017 (7)"
"9788940403945","9788940404003","6","이것이새천년미국영어다","8940404009 (6)"
"9788940403945","9788940404027","8","이것이새천년미국영어다","8940404025 (8)"
"9788940403945","9788940404034","9","이것이새천년미국영어다","8940404033 (9)"
"9788940403945","9788940404041","10","이것이새천년미국영어다","8940404041 (10)"
"9791163114154","9791136739964","22","스트라이크더블러드","9791136739964 (22)"
"9788927730071","9788927732716","3","재미있게배우는한국어","9788927732716 (3)"
"9788968319259","9791134890438","37","드래곤빌리지","9791134890438 (37)"
"9788934965268","9788934985457","15","요리스타청","9788934985457 (15(완결))"
"9788926734582","9788926718834","35","무림오적","9788926718834 (35)"
